title,rate,author
作者:[英]毛姆,9.0,刀锋
作者:章东磐,9.0,父亲的战场
作者:[美]丹·西蒙斯,9.0,海伯利安
作者:[俄]布尔加科夫,8.9,大师和玛格丽特
作者:林达,9.0,我也有一个梦想
作者:王国维,9.0,人间词话
出版社:中国基督教协会,9.0,圣经
作者:秦晖,9.1,传统十论
作者:[英]马丁•麦克多纳/汀布莱克•韦滕贝克/安东尼•尼尔逊/卡丽尔•丘琪尔,9.1,枕头人
作者:汪曾祺,9.3,受戒
作者:[英]肯·福莱特,9.0,巨人的陨落
作者:费孝通,9.0,江村经济
作者:桔子樹,9.4,麒麟之与子同袍
作者:(英)王尔德,9.1,快乐王子
作者:李娟,9.1,羊道·深山夏牧场
作者:[俄]列夫·托尔斯泰,9.1,安娜·卡列尼娜
作者:李娟,9.1,羊道·前山夏牧场
作者:旋元佑,9.5,英语魔法师之语法俱乐部
作者:CharlesPetzold,9.2,编码的奥秘
作者:(日)三岛由纪夫,9.0,天人五衰
作者:李碧华,9.2,霸王别姬
作者:[奥]莱内·马利亚·里尔克,9.1,给青年诗人的信
作者:DouglasCrockford,9.1,JavaScript语言精粹
作者:[日]芥川龙之介,9.2,芥川龙之介全集
作者:TOBYSEGARAN,9.0,集体智慧编程
作者:阿城,9.0,棋王.樹王.孩子王
作者:（法）安德烈·巴赞,9.0,电影是什么？
作者:老舍,9.1,正红旗下
作者:(法)克利斯提昂.约里波瓦/文/(法)克利斯提昂.艾利施/图,9.1,我想去看海
作者:藤萍,9.0,香初上舞·终上
作者:藤萍,9.0,香初上舞·再上
作者:赖世雄,9.6,美语音标
作者:[英]毛姆,9.0,人生的枷锁
作者:金庸,9.6,金庸全集
作者:毛泽东,9.1,毛泽东选集第一卷
作者:陈鼓应注译,9.3,庄子今注今译（全三册）
作者:南怀瑾,9.0,庄子諵譁（下）
作者:鲁迅,9.1,故事新编
作者:汪曾祺,9.2,汪曾祺小说经典
作者:鸟哥,9.1,鸟哥的Linux私房菜
作者:[荷]文森特·凡高,9.1,亲爱的提奥
作者:夏宇,9.0,夏宇詩集／腹語術
作者:海子著/西川编,9.2,海子诗全集
作者:罗曼·罗兰,9.1,约翰·克利斯朵夫（共四册）
作者:（明）汤显祖著；徐朔方，杨笑杨校注,9.2,牡丹亭
作者:（英）阿诺德・汤因比,9.0,历史研究
作者:[德]赫尔曼·黑塞,9.0,德米安
作者:[苏]安德烈·塔可夫斯基,9.0,雕刻时光
作者:罗杰•霍克(RogerR.Hock),9.3,改变心理学的40项研究
作者:[俄]陀思妥耶夫斯基,9.0,死屋手记
"作者:（黎巴嫩）纪·哈·纪伯伦（Gibran,K.）",9.2,纪伯伦诗集
作者:卡里・纪伯伦/廖欣,9.1,沙与沫
作者:[意]普里莫·莱维,9.1,被淹没和被拯救的
作者:[加拿大]阿利斯泰尔·麦克劳德,9.0,海风中失落的血色馈赠
作者:S.A.阿列克谢耶维奇,9.0,切尔诺贝利的悲鸣
作者:[法]克里斯托弗·加尔法德,9.1,极简宇宙史
作者:[法]马塞尔·普鲁斯特,9.1,追忆似水年华
作者:卡伦·霍尼,9.0,我们时代的神经症人格
作者:[哥伦比亚]加西亚·马尔克斯,9.0,活着为了讲述
作者:[白俄]S.A.阿列克谢耶维奇,8.8,二手时间
作者:本书编委会,9.6,心经
作者:米切尔·恩德,9.1,毛毛
作者:田中芳树,9.4,银河英雄传说
作者:汪曾祺,9.1,受戒
作者:(法)阿尔贝·加缪,8.9,局外人
作者:BarbaraDemick,9.1,NothingtoEnvy
作者:李碧华,9.2,霸王别姬
作者:[瑞典]弗雷德里克·巴克曼,9.1,一个叫欧维的男人决定去死
作者:史铁生,9.1,记忆与印象
作者:(印度)泰戈尔,9.1,新月集·飞鸟集
作者:（美）玛格丽特・米切尔,9.3,乱世佳人(上、下)
作者:三毛,9.0,温柔的夜
作者:[美]ScottMeyers,9.2,EffectiveC++中文版
作者:[美]斯科特·安德森,9.1,阿拉伯的劳伦斯
作者:MartinFowler,9.0,重构
作者:杨小凯,9.1,百年中国经济史笔记
作者:冯友兰,9.0,中国哲学简史
作者:白谦慎,9.0,傅山的世界
作者:KennethA.Reek,9.0,C和指针
作者:夏宇,9.1,備忘錄
作者:[英]约翰·穆勒,9.4,论自由
作者:威廉·萨默赛特·毛姆/(W.S.Maugham),9.0,人性的枷锁
作者:priest,8.9,有匪1
作者:刘和平,9.1,大明王朝1566
作者:王小波,9.0,黄金时代
作者:[美]雅罗姆（IrvinD.Yalom）,9.0,给心理治疗师的礼物
作者:桔子樹,9.5,麒麟之生死與共
作者:张新颖,9.0,沈从文的后半生：1948-1988
作者:斯蒂芬A.罗斯,9.4,公司理财
作者:[英]肯·福莱特,9.1,世界的凛冬
作者:[美]约翰·斯坦贝克（JohnSteinbeck）,9.0,人鼠之间
作者:[英]毛姆,9.0,面纱
作者:[美]田纳西·威廉斯,9.0,欲望号街车
作者:南怀瑾述,9.2,南怀瑾选集（第一卷）
作者:[英]路德维希·维特根斯坦,9.0,哲学研究
作者:(美)丹·西蒙斯,9.1,海伯利安的陨落
作者:(美)丹·西蒙斯,9.2,海伯利安
作者:叶嘉莹,9.1,唐宋词十七讲
作者:张五常,9.0,经济解释卷一：科学说需求（神州增订版）
作者:钱钟书,9.3,管锥编（全五册）
作者:芥川龙之介,9.1,罗生门
作者:史铁生,9.0,我与地坛
作者:吳念真,9.0,這些人，那些事
作者:(德)阿・叔本华,9.1,叔本华思想随笔
作者:斯·茨威格,9.1,斯·茨威格中短篇小说选
作者:(英)威廉·萨默塞特·毛姆,9.1,毛姆短篇小说精选集
作者:李娟,9.0,阿勒泰的角落
作者:老舍,9.2,四世同堂
作者:大仲马,9.2,基督山伯爵（上下册）
作者:[意大利]卡尔维诺,9.0,卡尔维诺文集（第五卷）
作者:王小波,9.1,黄金时代白银时代
作者:[英]贡布里希(SirE.H.Gombrich),9.6,艺术的故事
作者:[澳]格里高利·大卫·罗伯兹,9.0,项塔兰
作者:李光耀,9.1,李光耀观天下
作者:白先勇,9.0,台北人
author,title,rate
作者:[英]吉米·哈利,万物生光辉,9.3
作者:(巴西)若泽•毛罗•德瓦斯康塞洛斯,我亲爱的甜橙树,9.1
作者:(美)马里奥·普佐,教父,9.2
作者:罗伯特·麦基,故事,9.2
作者:(意)卡尔维诺,树上的男爵,9.0
作者:盐野七生,罗马人的故事2,9.2
作者:(法)儒勒·凡尔纳,神秘岛（全三册）,9.2
作者:阿加莎・克里斯蒂,罗杰・艾克罗伊德谋杀案,9.0
作者:萧红,呼兰河传,9.0
作者:白先勇,孽子,9.0
作者:章詒和,最後的貴族,9.0
作者:木心,木心作品八种,9.3
作者:史铁生,灵魂的事,9.0
作者:[英]吉米·哈利,万物既聪慧又奇妙,9.2
作者:[法]阿尔贝·加缪,局外人,9.0
作者:(德)黑塞,荒原狼,9.0
作者:(奥)劳伦兹,所罗门王的指环,9.2
作者:一行禅师,故道白云,9.0
作者:冯友兰,中国哲学简史,9.2
作者:（美）保罗·萨缪尔森,经济学,9.3
作者:[美]查尔斯·舒尔茨,史努比黄金50年,9.1
作者:鲁兵主编,365夜,9.2
作者:刘义庆,世说新语,9.0
作者:[美]艾萨克·阿西莫夫,银河帝国3：第二基地,9.2
作者:PeterVanDerLinden,C专家编程,9.2
作者:W.RichardStevens,TCP/IP详解卷1：协议,9.2
作者:（美）艾萨克·阿西莫夫,基地前传2·迈向基地（上下）,9.0
作者:[英]奈杰尔·巴利,天真的人类学家,9.0
作者:三毛,温柔的夜,9.0
作者:柏拉图,柏拉图的《会饮》,9.2
作者:[明]张岱,陶庵梦忆西湖梦寻,9.2
作者:(美)杰克·伦敦著,热爱生命,9.0
作者:玛格丽特.米切尔,飘,9.4
作者:迟子建,额尔古纳河右岸,9.0
作者:[加]露西·莫德·蒙哥玛利,绿山墙的安妮,9.0
作者:（美）RandalE.Bryant/DavidO'Hallaron,深入理解计算机系统（原书第2版）,9.7
作者:逯钦立校注,陶渊明集,9.3
作者:(后秦)鸠摩罗什,金刚经,9.5
作者:[阿根廷]博尔赫斯,小径分岔的花园,9.1
作者:三毛,梦里花落知多少,9.1
作者:三毛,荷西我爱你,9.2
作者:[古希腊]亚里士多德(Aristotle),尼各马可伦理学,9.1
作者:[美]StanleyB.Lippman,深度探索C++对象模型,9.1
作者:[德]赫尔曼·黑塞,玻璃球游戏,9.0
作者:[英]以塞亚·伯林,浪漫主义的根源,9.2
作者:藤萍,吉祥纹莲花楼终篇之青龙·白虎,9.1
作者:ZhejiangEducationPublishingHouse,中国少年儿童百科全书,9.1
作者:王德胜,中国少年儿童百科全书--自然.环境,9.2
